UniqueID1232,FESID2244,EnvironmentalClass,EnvironmentalSubclass,Ecological End-Product Class,Ecological End-Product Subclass,Direct Use/Non-Use Class,Direct Use/Non-Use Subclass I,Direct Use/Non-Use Subclass II,Direct User Class,Direct User Subclass I,Direct User Subclass II,FESID2244,BeneficiaryCategory,BeneficiarySubcategory,FEGSIDNumber,FEGS,Example,Importance,FEGSMeasurementincludingUnits,MeasurementType,Status,Source,Notes
1035,24.83.1206.3928,Terrestrial,Grasslands,Combined End-products,Presence of environmental class/sub-class ,Direct Use,In-situ Use,Protection of human property,Government ,,National Security and International Affairs ,24.83.1206.3928,"Government, Municipal, and Residential",Military / Coast Guard,24.0304,presence of the environment, ,opportunity for placement of infrastructure,NA,NA,NA,NA,NA
1043,28.83.1206.3928,Terrestrial,Ice and Snow,Combined End-products,Presence of environmental class/sub-class ,Direct Use,In-situ Use,Protection of human property,Government ,,National Security and International Affairs ,28.83.1206.3928,"Government, Municipal, and Residential",Military / Coast Guard,28.0304,presence of the environment, ,opportunity for placement of infrastructure,NA,NA,NA,NA,NA
1025,13.83.1206.3928,Aquatic,Lakes and Ponds,Combined End-products,Presence of environmental class/sub-class ,Direct Use,In-situ Use,Protection of human property,Government ,,National Security and International Affairs ,13.83.1206.3928,"Government, Municipal, and Residential",Military / Coast Guard,13.0304,presence of the environment, ,opportunity for placement of infrastructure,NA,NA,NA,NA,NA
1027,14.83.1206.3928,Aquatic,Near Coastal Marine and Estuaries,Combined End-products,Presence of environmental class/sub-class ,Direct Use,In-situ Use,Protection of human property,Government ,,National Security and International Affairs ,14.83.1206.3928,"Government, Municipal, and Residential",Military / Coast Guard,14.0304,presence of the environment, ,opportunity for placement of infrastructure,NA,NA,NA,NA,NA
1029,15.83.1206.3928,Aquatic,Open Oceans and Seas,Combined End-products,Presence of environmental class/sub-class ,Direct Use,In-situ Use,Protection of human property,Government ,,National Security and International Affairs ,15.83.1206.3928,"Government, Municipal, and Residential",Military / Coast Guard,15.0304,presence of the environment, ,opportunity for placement of infrastructure,NA,NA,NA,NA,NA
1021,11.83.1206.3928,Aquatic,Rivers and Streams,Combined End-products,Presence of environmental class/sub-class ,Direct Use,In-situ Use,Protection of human property,Government ,,National Security and International Affairs ,11.83.1206.3928,"Government, Municipal, and Residential",Military / Coast Guard,11.0304,presence of the environment, ,opportunity for placement of infrastructure,NA,NA,NA,NA,NA
1037,25.83.1206.3928,Terrestrial,Scrubland / Shrubland,Combined End-products,Presence of environmental class/sub-class ,Direct Use,In-situ Use,Protection of human property,Government ,,National Security and International Affairs ,25.83.1206.3928,"Government, Municipal, and Residential",Military / Coast Guard,25.0304,presence of the environment, ,opportunity for placement of infrastructure,NA,NA,NA,NA,NA
1041,27.83.1206.3928,Terrestrial,Tundra,Combined End-products,Presence of environmental class/sub-class ,Direct Use,In-situ Use,Protection of human property,Government ,,National Security and International Affairs ,27.83.1206.3928,"Government, Municipal, and Residential",Military / Coast Guard,27.0304,presence of the environment, ,opportunity for placement of infrastructure,NA,NA,NA,NA,NA
1023,12.83.1206.3928,Aquatic,Wetlands,Combined End-products,Presence of environmental class/sub-class ,Direct Use,In-situ Use,Protection of human property,Government ,,National Security and International Affairs ,12.83.1206.3928,"Government, Municipal, and Residential",Military / Coast Guard,12.0304,presence of the environment, ,opportunity for placement of infrastructure,NA,NA,NA,NA,NA
1156,22.31.1107.2111,Terrestrial,Agroecosystems,Fauna,Fauna,Direct Use,Extractive Use,Recreation/tourism,Households,Households,Households,22.31.1107.2111,Recreational,Hunters,22.0603,fauna,"pheasant, deer, elk, rabbit","organisms (i.e., birds, mammals, reptiles, etc.) that can be hunted",NA,NA,NA,NA,NA
